Txn Date,Value Date,Description,Debit,Credit,Balance
02-03-2026,02-03-2026,NEFT/708393473571/lon hapto,33237.26,,-23810.26
12-03-2026,12-03-2026,NEFT/708393473571/lon hapto,,13736.85,-10073.41
03-03-2026,03-03-2026,UPI/jagrati.sibal@ybl/khareedi,,7817.11,-2256.3
05-03-2026,05-03-2026,NEFT/708393473571/lon hapto,,25408.53,23152.23
06-03-2026,06-03-2026,IMPS/708393473571/paisa transfer,,31532.21,54684.44
01-03-2026,01-03-2026,RTGS/708393473571/rok'am jama,,19285.49,73969.93
12-03-2026,12-03-2026,NEFT/708393473571/lon hapto,2611.76,,71358.17
06-03-2026,06-03-2026,IMPS/708393473571/paisa transfer,22884.66,,48473.51
14-03-2026,14-03-2026,UPI/jagrati.sibal@ybl/chukvani,15479.72,,32993.79
04-03-2026,04-03-2026,UPI/jagrati.sibal@ybl/khareedi,,32747.06,65740.85
10-03-2026,10-03-2026,RTGS/708393473571/rok'am jama,35888.8,,29852.05
02-03-2026,02-03-2026,IMPS/708393473571/paisa transfer,,32083.96,61936.01
09-03-2026,09-03-2026,IMPS/708393473571/paisa transfer,,1629.64,63565.65
17-03-2026,17-03-2026,RTGS/708393473571/rok'am jama,39603.92,,23961.73
17-03-2026,17-03-2026,UPI/jagrati.sibal@ybl/khareedi,10423.9,,13537.83
14-03-2026,14-03-2026,NEFT/708393473571/lon hapto,14759.83,,-1222.0
18-03-2026,18-03-2026,IMPS/708393473571/paisa transfer,,42400.51,41178.51
12-03-2026,12-03-2026,IMPS/708393473571/paisa transfer,36189.27,,4989.24
02-03-2026,02-03-2026,UPI/jagrati.sibal@ybl/khareedi,16774.27,,-11785.03
11-03-2026,11-03-2026,IMPS/708393473571/paisa transfer,13276.84,,-25061.87
01-03-2026,01-03-2026,RTGS/708393473571/rok'am jama,22595.06,,-47656.93
02-03-2026,02-03-2026,NEFT/708393473571/lon hapto,,44554.17,-3102.76
06-03-2026,06-03-2026,IMPS/19546636166/paisa transfer,42500.0,,-45602.76
