A_PARTY,B_PARTY,CALL_TYPE,START_TIME,DURATION_SEC,CELL_ID,IMEI
9782373836,9775417201,MOC,2026-03-19 16:34:58,41,SRT-T03,432178537536631
9782373836,9821558664,MTC,2026-03-15 16:07:19,352,SRT-T05,432178537536631
9782373836,9829703448,MTC,2026-03-18 17:16:31,735,SRT-T04,432178537536631
9782373836,9610858202,MOC,2026-03-03 15:17:49,370,SRT-T02,432178537536631
9782373836,9841183985,MOC,2026-03-16 15:18:06,671,SRT-T02,432178537536631
9782373836,9770227791,MOC,2026-03-05 04:12:20,43,SRT-T02,432178537536631
9782373836,9724094691,MOC,2026-03-13 12:54:54,345,SRT-T05,432178537536631
9782373836,9527300547,MOC,2026-03-04 02:38:13,118,SRT-T01,432178537536631
9782373836,9846958521,MTC,2026-03-11 21:11:02,776,SRT-T02,432178537536631
9782373836,9825626756,MTC,2026-03-17 23:47:37,705,SRT-T05,432178537536631
9782373836,9849893068,MTC,2026-03-02 12:00:34,245,SRT-T02,432178537536631
9782373836,9598017150,MTC,2026-03-18 13:18:58,160,SRT-T03,432178537536631
9782373836,9842231986,MTC,2026-03-17 22:04:15,403,SRT-T02,432178537536631
9782373836,9736895565,MTC,2026-03-12 09:27:55,159,SRT-T05,432178537536631
9782373836,9568925742,MTC,2026-03-04 23:40:43,203,SRT-T03,432178537536631
9782373836,9835616877,MTC,2026-03-19 09:25:14,801,SRT-T01,432178537536631
9782373836,9680556153,MTC,2026-03-06 10:29:59,39,SRT-T04,432178537536631
9782373836,9689545434,MTC,2026-03-04 02:50:30,798,SRT-T04,432178537536631
