A_PARTY,B_PARTY,CALL_TYPE,START_TIME,DURATION_SEC,CELL_ID,IMEI
9660171277,9733861146,VOICE,2025-05-04 13:54:16,44.0,SRT-T05,323835719012733
9660171277,9519726947,VOICE,2025-05-12 07:25:24,573.0,SRT-T07,323835719012733
9660171277,9771509102,VOICE,2025-05-18 17:33:45,539.0,SRT-T05,323835719012733
9660171277,9771509102,VOICE,2025-05-16 21:34:20,22.0,SRT-T09,323835719012733
9660171277,9519726947,VOICE,2025-06-04 13:25:49,398.0,SRT-T04,323835719012733
9660171277,9519726947,VOICE,2025-06-10 16:17:24,249.0,SRT-T06,323835719012733
9660171277,9733861146,VOICE,2025-06-14 11:48:51,533.0,SRT-T01,323835719012733
9660171277,9519726947,VOICE,2025-05-11 18:33:32,87.0,,323835719012733
9660171277,9519726947,VOICE,2025-05-01 22:52:13,540.0,SRT-T02,323835719012733
9660171277,9883605726,SMS,2025-05-30 21:00:23,23.0,SRT-T01,323835719012733
9660171277,9848360115,VOICE,2025-05-26 22:11:29,27.0,SRT-T04,323835719012733
9660171277,9848360115,VOICE,2025-05-02 17:16:10,22.0,SRT-T10,323835719012733
9660171277,9519726947,VOICE,2025-05-20 08:22:10,,SRT-T07,323835719012733
9660171277,9888380008,VOICE,2025-05-19 13:40:39,438.0,SRT-T01,323835719012733
9660171277,9733861146,VOICE,2025-06-09 19:57:50,13.0,SRT-T01,323835719012733
9660171277,9519726947,VOICE,2025-06-11 13:38:33,536.0,SRT-T07,323835719012733
9660171277,9888380008,VOICE,2025-06-14 18:51:38,537.0,SRT-T01,323835719012733
9660171277,9771509102,VOICE,2025-05-27 19:57:09,28.0,SRT-T01,323835719012733
9660171277,9888380008,VOICE,2025-05-18 17:04:13,28.0,SRT-T10,323835719012733
9660171277,9598331101,VOICE,2025-06-09 18:24:19,561.0,SRT-T02,323835719012733
9660171277,9519726947,VOICE,2025-05-21 20:31:28,332.0,SRT-T03,323835719012733
9660171277,9883605726,VOICE,2025-05-19 18:51:51,14.0,SRT-T02,323835719012733
9660171277,9848360115,SMS,2025-05-08 18:44:25,139.0,SRT-T03,323835719012733
9660171277,9733861146,SMS,2025-06-11 12:25:43,449.0,SRT-T06,323835719012733
9660171277,9883605726,SMS,2025-06-09 15:40:55,173.0,SRT-T07,323835719012733
9660171277,9598331101,VOICE,2025-05-21 09:44:59,347.0,SRT-T08,323835719012733
9660171277,9771509102,VOICE,2025-05-31 15:57:00,26.0,SRT-T09,323835719012733
9813051294,9848360115,VOICE,2025-05-05 10:51:12,317.0,SRT-T07,657435543443062
9813051294,9651565293,VOICE,2025-05-12 21:52:00,543.0,SRT-T04,657435543443062
9813051294,9651565293,SMS,2025-05-03 12:03:09,484.0,SRT-T09,657435543443062
9813051294,9644024255,VOICE,2025-05-08 17:07:29,19.0,SRT-T04,657435543443062
9813051294,9761640449,VOICE,2025-05-31 15:09:16,6.0,SRT-T06,657435543443062
9813051294,9651565293,VOICE,2025-05-30 08:57:57,193.0,SRT-T05,657435543443062
