MSISDN,PRIVATE_IP,PUBLIC_IP,PORT,SESSION_START,SESSION_END,DEST_IP,DATA_VOLUME_KB
9618823344,10.180.167.93,117.196.63.25,10449,2026-03-02 02:22:37,2026-03-02 03:10:37,164.65.112.132,378857
9618823344,10.211.221.3,117.196.56.241,32572,2026-03-05 12:52:08,2026-03-05 12:56:08,219.145.180.192,198916
9618823344,10.217.230.53,117.196.233.235,46866,2026-03-13 15:33:58,2026-03-13 16:32:58,191.50.48.147,90729
9618823344,10.184.21.48,117.196.166.27,30264,2026-03-11 20:21:09,2026-03-11 21:12:09,71.53.23.8,378029
9618823344,10.69.208.211,117.196.202.239,48715,2026-03-03 05:55:11,2026-03-03 06:05:11,59.40.60.90,421041
9618823344,10.212.50.28,117.196.171.141,47773,2026-03-06 23:16:07,2026-03-07 00:01:07,189.212.92.21,126453
9618823344,10.18.9.132,117.196.93.194,29193,2026-03-19 14:33:31,2026-03-19 15:57:31,3.126.147.74,185662
9618823344,10.55.117.176,117.196.53.157,27513,2026-03-18 21:14:25,2026-03-18 22:05:25,4.180.133.237,129542
9618823344,10.100.45.141,117.196.231.4,34116,2026-03-04 09:24:58,2026-03-04 10:15:58,169.56.131.58,333915
9618823344,10.44.241.86,117.196.178.116,18402,2026-03-10 10:33:56,2026-03-10 11:51:56,102.149.176.161,267028
9618823344,10.247.31.113,117.196.42.112,52778,2026-03-19 05:02:02,2026-03-19 05:22:02,62.1.161.76,137786
9618823344,10.115.178.209,117.196.98.98,36826,2026-03-14 01:28:38,2026-03-14 01:44:38,81.167.3.90,349607
9618823344,10.216.117.84,117.196.164.5,58396,2026-03-16 04:54:36,2026-03-16 05:34:36,178.158.238.174,329934
9618823344,10.70.61.82,117.196.200.139,26822,2026-03-18 05:00:42,2026-03-18 05:39:42,144.152.76.119,1688
