MSISDN,PRIVATE_IP,PUBLIC_IP,PORT,SESSION_START,SESSION_END,DEST_IP,DATA_VOLUME_KB
9550841087,10.54.230.47,103.211.102.180,15714,2026-03-05 09:58:49,2026-03-05 10:07:49,134.3.66.80,106895
9550841087,10.121.247.22,103.211.62.13,42295,2026-03-09 02:20:48,2026-03-09 02:49:48,157.127.253.218,292325
9550841087,10.57.184.197,103.211.33.63,21882,2026-03-11 20:38:41,2026-03-11 21:17:41,46.26.227.221,94763
9550841087,10.38.5.217,103.211.19.31,47617,2026-03-07 15:19:46,2026-03-07 15:29:46,19.71.202.234,450088
9550841087,10.27.31.230,103.211.65.167,37494,2026-03-07 22:02:33,2026-03-07 22:18:33,128.223.139.197,423251
9550841087,10.250.168.195,103.211.78.184,23470,2026-03-03 17:28:02,2026-03-03 18:26:02,148.121.164.146,77655
9550841087,10.227.217.243,103.211.128.170,3432,2026-03-05 10:12:48,2026-03-05 11:24:48,162.116.100.206,410514
9550841087,10.93.228.123,103.211.167.143,59421,2026-03-01 22:05:03,2026-03-01 23:16:03,75.57.235.249,147080
9550841087,10.141.129.108,103.211.125.106,23419,2026-03-09 14:36:34,2026-03-09 15:04:34,153.173.9.243,275148
9550841087,10.163.118.27,103.211.208.194,39991,2026-03-05 09:02:16,2026-03-05 10:11:16,178.252.91.166,421443
9550841087,10.128.121.197,103.211.18.6,63138,2026-03-09 03:06:23,2026-03-09 03:54:23,56.216.55.65,485192
9550841087,10.236.4.188,103.211.143.36,44575,2026-03-05 07:58:01,2026-03-05 09:08:01,102.146.33.141,55550
9550841087,10.68.2.47,103.211.254.21,17199,2026-03-08 00:03:00,2026-03-08 00:07:00,93.135.135.202,360691
9550841087,10.34.115.126,103.211.237.239,42173,2026-03-12 22:56:29,2026-03-12 23:50:29,39.100.141.140,303367
